"warehouse_id","is_truck_psdc_audited","departed_trailer_id","ob_vrid","container_id","container_label","container_type","is_container_psdc_audited","package_scan_to_trailer_sample","package_scan_to_trailer_time_local","first_container_scan_to_trailer_time_local"
"POZ2","Y","YTO21126272768","111X43TH2","7ab363b2-9d85-41c8-905c-16ba4560c6d5","GAYLORD_L1Dahe_Z","GAYLORD","Y","STn9CfXV2B_001_v","2026-02-14 10:02:00","2026-02-14 10:02:00"
"POZ2","Y","YTO21126272768","111X43TH2","268204f9-8f65-4120-9fa7-3b285ecd051f","PALLET_Y6mR5MH_Z","PALLET","Y","STJsqKjB1B_001_v","2026-02-14 10:03:00","2026-02-14 10:03:00"
"POZ2","Y","YTO21126272768","111X43TH2","f4968d4b-bc5e-4bb9-9d80-55667f3f808d","PALLET_osleYFV_Z","PALLET","Y","STXB0w8BCB_001_v","2026-02-14 10:05:00","2026-02-14 10:04:00"
"POZ2","Y","YTO21126272768","111X43TH2","06736fab-318a-4685-982c-08d9fcb4a649","PALLET_7hogG1Y_Z","PALLET","Y","STJkxmSM6B_001_v","2026-02-14 10:06:00","2026-02-14 10:06:00"
"POZ2","Y","YTO21126272768","111X43TH2","7655516d-c026-4073-b8c7-b835768459de","PALLET_LWjXPZu_Z","PALLET","Y","ST6LhmSM0B_001_v","2026-02-14 10:07:00","2026-02-14 10:07:00"
"POZ2","Y","YTO21126272768","111X43TH2","b267dd11-acac-4c14-9a41-77ff76817322","GAYLORD_BFr9hT_Z","GAYLORD","Y","ST6gyksBtB_001_v","2026-02-14 12:46:00","2026-02-14 12:46:00"
"POZ2","Y","YTO21126272768","111X43TH2","0b2ed796-d397-41b6-a991-64412e90d07b","GAYLORD_aVKBQR_Z","GAYLORD","Y","ST6Tg5GM7B_001_v","2026-02-14 12:47:00","2026-02-14 12:47:00"
"POZ2","Y","YTO21126272768","111X43TH2","a9a1b485-1be6-4315-8d82-24d430b8e99a","GAYLORD_A6uyKz_Z","GAYLORD","Y","STNQSPyMrB_001_v","2026-02-14 12:48:00","2026-02-14 12:48:00"
"POZ2","N","YTO21126272767","1129S3RRK","46229ce0-8501-4df8-ab9d-3f2f32b0e078","GAYLORD_74nSGh_Z","GAYLORD","N",,,"2026-02-14 12:52:00"
"POZ2","N","YTO21126272767","1129S3RRK","d7fea10e-7234-4889-8693-477dba641e55","PALLET_At4YoNU_Z","PALLET","Y","STJXhNRBrB_001_v","2026-02-14 12:53:00","2026-02-14 12:53:00"
"POZ2","N","YTO21126272767","1129S3RRK","02aa6dab-a1c0-492b-8306-e11252cfac5a","GAYLORD_XJdYTo_Z","GAYLORD","Y","STXSPN3B2B_001_v","2026-02-14 12:55:00","2026-02-14 12:55:00"
"POZ2","N","YTO21125248661","116RYK94F","20bb356e-cb9b-4f09-a6b2-b83a90ee6ba8","PALLET_EzCmUx9_Z","PALLET","Y","STVp76WBnB_001_v","2026-02-14 14:19:00","2026-02-14 14:19:00"
"POZ2","N","YTO21125248661","116RYK94F","1f254048-fba0-4b9f-8457-564755fb10ba","GAYLORD_YSotVY_Z","GAYLORD","Y","STcQVNKMlB_001_v","2026-02-14 14:20:00","2026-02-14 14:20:00"
"POZ2","N","YTO21125248661","116RYK94F","6604f325-eebb-44ed-ba5f-0eb81f8c5f82","GAYLORD_v2LeeO_Z","GAYLORD","Y","ST13DJsBdB_001_v","2026-02-14 14:21:00","2026-02-14 14:21:00"
"POZ2","N","YTO21125248661","116RYK94F","edf61032-552a-4a10-b12d-176b5b9cc43b","GAYLORD_GW663E_Z","GAYLORD","Y","STXtw0VBYB_001_v","2026-02-14 14:24:00","2026-02-14 14:24:00"
"POZ2","N","YTO21125248661","116RYK94F","64355160-dd89-431b-bed2-dabf3d3c6a71","GAYLORD_Lmjm7L_Z","GAYLORD","Y","STc3L6xBXB_001_v","2026-02-14 14:25:00","2026-02-14 14:25:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","f23f27b2-4ca4-4af6-9c16-b357cfea4bbb","PALLET_XFJSKxO_Z","PALLET","Y","ST6Qdzg2DB_001_v","2026-02-14 14:27:00","2026-02-14 14:27:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","fdd6bd8d-0632-40ed-84c9-a0a024906f5d","PALLET_lqPHUtR_Z","PALLET","Y","STnsFS9MLB_001_v","2026-02-14 14:29:00","2026-02-14 14:28:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","17153a21-90fe-4e2b-9a9c-ba6c59cf4334","PALLET_xCF2REp_Z","PALLET","Y","STVt49zBBB_001_v","2026-02-14 14:30:00","2026-02-14 14:30:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","d6702c89-1cbd-4b20-a206-b714e4e08d53","GAYLORD_9m1YyL_Z","GAYLORD","Y","STVCg4ctVB_001_v","2026-02-14 14:35:00","2026-02-14 14:35:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","1969de43-f6e9-43b8-8b78-d67fe98c893d","GAYLORD_nz5M1x_Z","GAYLORD","Y","STVwx302SB_001_v","2026-02-14 14:36:00","2026-02-14 14:36:00"
"POZ2","Y","YTO21125213253","115X1Y9NB","5457b9c3-ee12-463b-b719-b9d91319b018","GAYLORD_PL4mCS_Z","GAYLORD","Y","STGkCn0MsB_001_v","2026-02-14 14:37:00","2026-02-14 14:37:00"
"POZ2","Y","YTO21126178558","111Z4295P","7b94f93b-78c6-4a99-b8da-92134aeb92c9","PALLET_fCc9uOV_Z","PALLET","Y","STgt3XWMzB_001_v","2026-02-14 14:39:00","2026-02-14 14:39:00"
"POZ2","N","YTO21126287985","1165W7G98","98b17509-fd9b-4b6c-a045-fa51fd949082","GAYLORD_bQHT5k_Z","GAYLORD","Y","STgm3bdBpB_001_v","2026-02-14 14:42:00","2026-02-14 14:42:00"
"POZ2","N","YTO21126287985","1165W7G98","21c7258f-0317-4653-be73-dc20a7fc67e3","GAYLORD_9SdXek_Z","GAYLORD","Y","SNWHwBK0bm_001_v","2026-02-14 14:43:00","2026-02-14 14:43:00"
"POZ2","N","YTO21126287985","1165W7G98","6bd35fff-9906-48b1-878c-7c60eae6b83f","GAYLORD_dciVVH_Z","GAYLORD","Y","STnrv932mB_001_v","2026-02-14 14:45:00","2026-02-14 14:45:00"
"POZ2","N","YTO21126287985","1165W7G98","4f409ebb-6998-4dcc-89ca-1b4a8ae4f0e9","PALLET_7V6UFBQ_Z","PALLET","Y","STVWDw06SB_001_v","2026-02-14 14:46:00","2026-02-14 14:46:00"
"POZ2","N","YTO21126287985","1165W7G98","ef9f57e1-e253-42b9-8770-11b5d78b26cb","GAYLORD_PRTMqe_Z","GAYLORD","Y","ST6Pym72BB_001_v","2026-02-14 14:47:00","2026-02-14 14:47:00"
"POZ2","N","YTO21126272767","1129S3RRK","aa50afd3-93ed-48d3-9fd8-1c5f358a29b2","GAYLORD_YK8Qob_Z","GAYLORD","Y","STGFP6QVcB_001_v","2026-02-14 14:51:00","2026-02-14 14:51:00"
